forecast_day,train_days,use_vst,use_lars,runtime_seconds
2025-10-01 00:00:00+02:00,56,True,False,92.60833237499901
2025-10-02 00:00:00+02:00,56,True,False,104.60581645800266
2025-10-03 00:00:00+02:00,56,True,False,102.85888649999833
2025-10-04 00:00:00+02:00,56,True,False,97.16498133300047
2025-10-05 00:00:00+02:00,56,True,False,96.63316887499968
2025-10-06 00:00:00+02:00,56,True,False,99.37345279099827
2025-10-07 00:00:00+02:00,56,True,False,102.11444949999714
2025-10-08 00:00:00+02:00,56,True,False,101.67092562500329
2025-10-09 00:00:00+02:00,56,True,False,104.78695525000512
2025-10-10 00:00:00+02:00,56,True,False,104.584929208002
2025-10-11 00:00:00+02:00,56,True,False,102.74571404099697
2025-10-12 00:00:00+02:00,56,True,False,102.30390058299963
2025-10-13 00:00:00+02:00,56,True,False,104.79534183399664
2025-10-14 00:00:00+02:00,56,True,False,99.54636174999905
2025-10-15 00:00:00+02:00,56,True,False,103.08941554199555
2025-10-16 00:00:00+02:00,56,True,False,100.78317154199613
2025-10-17 00:00:00+02:00,56,True,False,104.59426629100199
2025-10-18 00:00:00+02:00,56,True,False,112.23289595900133
2025-10-19 00:00:00+02:00,56,True,False,112.31985045799956
2025-10-20 00:00:00+02:00,56,True,False,109.1811977910038
2025-10-21 00:00:00+02:00,56,True,False,107.36073533300078
2025-10-22 00:00:00+02:00,56,True,False,100.13702779199957
2025-10-23 00:00:00+02:00,56,True,False,108.6852212080048
2025-10-24 00:00:00+02:00,56,True,False,108.86807662499632
2025-10-25 00:00:00+02:00,56,True,False,104.93996929099376
2025-10-26 00:00:00+02:00,56,True,False,102.87863474999904
2025-10-27 00:00:00+01:00,56,True,False,111.96764570900268
2025-10-28 00:00:00+01:00,56,True,False,110.89504137500626
2025-10-29 00:00:00+01:00,56,True,False,104.24086445799912
2025-10-30 00:00:00+01:00,56,True,False,106.54237799999828
2025-10-31 00:00:00+01:00,56,True,False,110.69861795800534
2025-11-01 00:00:00+01:00,56,True,False,106.71222754100017
2025-11-02 00:00:00+01:00,56,True,False,104.48908158399718
2025-11-03 00:00:00+01:00,56,True,False,103.39213391699741
2025-11-04 00:00:00+01:00,56,True,False,103.37131554199732
2025-11-05 00:00:00+01:00,56,True,False,103.75683362500422
2025-11-06 00:00:00+01:00,56,True,False,104.93220387499605
2025-11-07 00:00:00+01:00,56,True,False,104.06745879200025
2025-11-08 00:00:00+01:00,56,True,False,105.5229450830011
2025-11-09 00:00:00+01:00,56,True,False,110.32193499999994
2025-11-10 00:00:00+01:00,56,True,False,110.500453749999
2025-11-11 00:00:00+01:00,56,True,False,111.60117662500124
2025-11-12 00:00:00+01:00,56,True,False,112.88285075000022
2025-11-13 00:00:00+01:00,56,True,False,115.03542062499764
2025-11-14 00:00:00+01:00,56,True,False,111.77829570900212
2025-11-15 00:00:00+01:00,56,True,False,112.7921531250031
2025-11-16 00:00:00+01:00,56,True,False,107.54990737500339
2025-11-17 00:00:00+01:00,56,True,False,106.14855529199849
2025-11-18 00:00:00+01:00,56,True,False,106.24732254199625
2025-11-19 00:00:00+01:00,56,True,False,106.93505337499664
2025-11-20 00:00:00+01:00,56,True,False,106.29258791600296
2025-11-21 00:00:00+01:00,56,True,False,105.83647937500064
2025-11-22 00:00:00+01:00,56,True,False,114.20957320799789
2025-11-23 00:00:00+01:00,56,True,False,105.69641687499825
2025-11-24 00:00:00+01:00,56,True,False,106.63033062500472
2025-11-25 00:00:00+01:00,56,True,False,105.2208008749949
2025-11-26 00:00:00+01:00,56,True,False,100.74452120899514
2025-11-27 00:00:00+01:00,56,True,False,115.89158258299722
2025-11-28 00:00:00+01:00,56,True,False,107.66448237500299
2025-11-29 00:00:00+01:00,56,True,False,97.57118191599875
2025-11-30 00:00:00+01:00,56,True,False,103.42201729199587
2025-12-01 00:00:00+01:00,56,True,True,52.6507761249959
2025-12-02 00:00:00+01:00,56,True,True,52.15929375000269
2025-12-03 00:00:00+01:00,56,True,True,51.47991929099953
2025-12-04 00:00:00+01:00,56,True,True,50.94087650000438
2025-12-05 00:00:00+01:00,56,True,True,51.78423316599947
2025-12-06 00:00:00+01:00,56,True,True,51.66604708300292
2025-12-07 00:00:00+01:00,56,True,True,61.5311365420057
2025-12-08 00:00:00+01:00,56,True,True,51.843345166998915
2025-12-09 00:00:00+01:00,56,True,True,51.61317066600168
2025-12-10 00:00:00+01:00,56,True,True,49.24255508300121
2025-12-11 00:00:00+01:00,56,True,True,49.072964292005054
2025-12-12 00:00:00+01:00,56,True,True,49.08619354200346
2025-12-13 00:00:00+01:00,56,True,True,49.743873874998826
2025-12-14 00:00:00+01:00,56,True,True,56.000154874993314
2025-12-15 00:00:00+01:00,56,True,True,51.69291391700244
2025-12-16 00:00:00+01:00,56,True,True,52.04876950000471
2025-12-17 00:00:00+01:00,56,True,True,50.41235258300003
2025-12-18 00:00:00+01:00,56,True,True,50.70505829200556
2025-12-19 00:00:00+01:00,56,True,True,50.617916875002265
2025-12-20 00:00:00+01:00,56,True,True,50.828132040995115
2025-12-21 00:00:00+01:00,56,True,True,51.16895024999394
2025-12-22 00:00:00+01:00,56,True,True,51.487699416000396
2025-12-23 00:00:00+01:00,56,True,True,51.72623879200546
2025-12-24 00:00:00+01:00,56,True,True,50.88001904099656
2025-12-25 00:00:00+01:00,56,True,True,50.929470000002766
2025-12-26 00:00:00+01:00,56,True,True,53.46605387499585
2025-12-27 00:00:00+01:00,56,True,True,48.73960891599563
2025-12-28 00:00:00+01:00,56,True,True,48.82686570900114
2025-12-29 00:00:00+01:00,56,True,True,49.95393779200094
2025-12-30 00:00:00+01:00,56,True,True,49.0457557080008
