period,mae,rmse,bias,n_obs,n_inf_nan
full,8.962902485287566,15.226610145703177,-0.48886883954398996,14496,0
oct_2025,12.309011011472062,20.684439708081015,-1.0155632442678988,2976,0
nov_2025,10.45414364513063,18.031556793262553,0.8573155912079212,2880,0
dec_2025,7.774713136749944,11.072364980306471,-0.3211251895400788,2976,0
jan_2026,8.378566399829246,14.246510833436101,-1.7711138499095236,2976,0
feb_2026,5.622962819104094,8.236653803026863,-0.11417113257634255,2688,0
