,q0.100,q0.250,q0.500,q0.750,q0.900,y_true
2025-12-01 00:00:00+01:00,76.60400408579731,87.14783215825346,94.10643060965786,100.635574110758,105.39784167752482,90.91
2025-12-01 00:15:00+01:00,74.11092386750147,82.50991048610605,89.92059040373091,96.71417441109136,103.1961933676593,90.44
2025-12-01 00:30:00+01:00,70.5592547064698,77.26778321741678,84.37123948313574,89.49837610114635,93.5474729252361,86.29
2025-12-01 00:45:00+01:00,64.32957429297434,76.56363997497763,81.68046777537255,86.19396850983868,90.26307938706209,84.34
2025-12-01 01:00:00+01:00,73.77049203865857,82.67369800789727,87.888230410454,92.82115007654707,97.10288044751981,90.79
2025-12-01 01:15:00+01:00,66.55932146437735,77.09492338267245,82.57019033711266,86.93072372533842,91.82294259205565,85.05
2025-12-01 01:30:00+01:00,70.195821966426,78.12289260254198,83.36379323665649,87.83258156089728,91.51920921323622,85.46
2025-12-01 01:45:00+01:00,66.46205968338464,75.12657895105875,81.3361727758259,86.16985511173537,90.34194534625644,82.79
2025-12-01 02:00:00+01:00,68.60506183351183,76.64549909360062,82.73729244683179,89.12249986951625,93.88597544222284,85.03
2025-12-01 02:15:00+01:00,69.16565088463706,77.06171131477137,82.91756180638212,87.5296154356586,91.72418595237639,81.35
2025-12-01 02:30:00+01:00,67.11586628653552,74.63344222898013,80.35194221402303,84.48433987544558,88.86533017803531,78.91
2025-12-01 02:45:00+01:00,62.54371299296647,69.73738196617848,77.77970970327485,81.85784844374693,87.39348352723682,80.07
2025-12-01 03:00:00+01:00,70.37449650414993,75.96648467850302,81.19752891961207,86.30944303461037,90.76766710845075,86.29
2025-12-01 03:15:00+01:00,63.34411847663101,72.65705863769709,78.69327329260923,83.55298751141274,88.35619889352289,85.02
2025-12-01 03:30:00+01:00,59.87081804267656,70.05576906017781,77.2602241422461,83.31871377283481,89.09969961340994,82.8
2025-12-01 03:45:00+01:00,56.2910586312207,68.55957929299697,75.86409675773302,83.13868949627059,89.24219001309314,86.45
2025-12-01 04:00:00+01:00,61.00290302883839,73.11875396661677,78.00644006945542,82.42517069604386,88.60055098198204,80.08
2025-12-01 04:15:00+01:00,60.47121948573102,72.86262627468622,79.25941142933823,83.86428041784278,89.22693620823495,81.32
2025-12-01 04:30:00+01:00,64.29331634561868,72.61961965760914,79.36459038594303,85.65977238919999,92.19134744432321,76.83
2025-12-01 04:45:00+01:00,67.33105629827372,75.48749321853708,84.56920427924481,91.54733990236141,97.54918433210422,82.8
2025-12-01 05:00:00+01:00,53.90852918385302,68.51483911980385,77.71075642451481,84.21488501364672,89.34069051716935,81.36
2025-12-01 05:15:00+01:00,66.29314443700989,76.5929072114829,82.76828369415593,87.86219098114319,92.375215555209,79.44
2025-12-01 05:30:00+01:00,63.33211045873006,75.89889821813256,84.89280977962247,91.4459335738682,97.23643232659279,90.9
2025-12-01 05:45:00+01:00,68.34170253965466,78.09384322207278,87.57164319003618,95.63118478574353,102.67464481665994,103.28
2025-12-01 06:00:00+01:00,44.93544385596899,61.037155011008544,73.64580796223025,84.94625136235486,94.31433937785906,77.9
2025-12-01 06:15:00+01:00,65.03308853645188,79.87919650494027,90.52815172766122,100.6928727497109,109.2730828775941,81.33
2025-12-01 06:30:00+01:00,76.0982287348546,88.35240255105249,100.60868365010447,114.15179070613442,126.34119413602693,92.36
2025-12-01 06:45:00+01:00,80.80985702812158,95.23898365128001,109.84789553112097,126.5077091008209,148.43061453032507,102.91
2025-12-01 07:00:00+01:00,77.680569457458,93.84300036620037,106.08136390280941,119.75332437131354,133.6423951728112,119.01
2025-12-01 07:15:00+01:00,91.9127874081243,103.62714439743418,116.92827396653377,133.06623676937886,163.85204840042223,119.06
2025-12-01 07:30:00+01:00,89.59658727822796,105.46692931064932,121.84393076832824,143.23695056526728,199.89790962525007,130.98
2025-12-01 07:45:00+01:00,84.4663352074009,103.93277361666614,124.52562812927127,148.9315711596261,211.25486108556868,142.39
2025-12-01 08:00:00+01:00,98.34609962682784,117.55456259156662,141.625871549227,171.882918086426,204.4751059509346,170.36
2025-12-01 08:15:00+01:00,89.61796288645755,108.07515377717336,129.2517631627948,160.32526974129772,197.5684993114732,146.72
2025-12-01 08:30:00+01:00,76.99546956206792,100.74505013261611,122.61298099842564,145.92063705963042,170.83286985719656,122.86
2025-12-01 08:45:00+01:00,61.97771257652197,81.16013093490686,106.2470416090593,131.2567166360534,161.3435624888904,117.39
2025-12-01 09:00:00+01:00,89.43097116322448,105.48691779789047,124.86264751183214,147.9295173804782,173.99278362256922,117.0
2025-12-01 09:15:00+01:00,77.84784511729228,91.79534063584481,108.32756196777684,127.99014801150777,146.43285917591493,112.59
2025-12-01 09:30:00+01:00,71.36047021270352,86.82316990214828,107.23948198601002,127.4900902345486,150.56647964836878,104.5
2025-12-01 09:45:00+01:00,59.46320085905624,74.01240890676372,93.72563361583614,114.13514552313731,136.343149692115,86.29
2025-12-01 10:00:00+01:00,88.16826180304338,105.00941146160389,121.55713086889324,140.50151624022573,166.8128357081739,97.71
2025-12-01 10:15:00+01:00,71.52777533685378,89.10782974214851,106.13392159464607,123.7781353961674,147.53888696153385,95.05
2025-12-01 10:30:00+01:00,69.75683050963175,84.9389255706499,102.95953890796723,120.67678485118275,142.9717362378981,95.02
2025-12-01 10:45:00+01:00,65.32622587464749,83.73579780195178,103.59764922201452,126.948792107967,150.62077347216675,87.15
2025-12-01 11:00:00+01:00,84.62190558040605,104.49659414097603,117.3231244490132,129.69005343707346,151.31449933424372,90.58
2025-12-01 11:15:00+01:00,83.27194722192463,97.46216448435337,111.27822986183787,123.84924914570428,140.20455317226975,86.3
2025-12-01 11:30:00+01:00,81.58383650186236,93.72987736106376,106.55456810137672,116.69774590206654,129.81046528026323,83.32
2025-12-01 11:45:00+01:00,76.4841050218511,90.70428448018207,104.85353974860328,117.19218987871842,140.3142853513068,83.64
2025-12-01 12:00:00+01:00,75.76977927353963,89.44520093161105,104.26982076178984,121.73270790908583,139.68435122928432,86.29
2025-12-01 12:15:00+01:00,77.36802680039492,89.06218290973274,103.55920977910304,117.93409400571538,135.42138824380277,81.4
2025-12-01 12:30:00+01:00,78.73867318957542,90.15782216914587,103.82165580322466,119.01578144243135,143.9027368423679,84.9
2025-12-01 12:45:00+01:00,77.95845144399406,89.75908585979205,103.20756321549423,120.94508409271157,151.15631707092152,87.48
2025-12-01 13:00:00+01:00,71.28860485762051,84.79215733858621,100.25585920699424,117.4767547153755,144.5624070199463,86.19
2025-12-01 13:15:00+01:00,75.891146376656,88.06425430271523,102.38108246795886,123.23604954250575,154.08255027848236,86.98
2025-12-01 13:30:00+01:00,74.77120995132434,88.37888819650944,102.31478100299417,122.84505951614997,150.81011453493136,89.91
2025-12-01 13:45:00+01:00,79.30520482299781,92.98488524632,109.25917727008743,135.64831284032095,167.20645684635628,97.2
2025-12-01 14:00:00+01:00,75.08493546406592,89.48469914494504,105.55452636712499,126.39411194965301,159.0140316312914,98.21
2025-12-01 14:15:00+01:00,80.78106910126868,93.73757714698866,108.63766552728403,134.2158027262927,170.91725934239608,106.89
2025-12-01 14:30:00+01:00,84.21347772813307,96.76016443388565,110.1122102147719,131.1586549400934,167.6502453947637,114.77
2025-12-01 14:45:00+01:00,88.64183167642301,103.1014678822147,117.41546945972074,136.89199486997126,167.05955485169784,109.0
2025-12-01 15:00:00+01:00,80.63552845104833,92.08378466528067,105.94117047278165,128.50028288499212,159.6035291113225,117.43
2025-12-01 15:15:00+01:00,88.67126899475866,101.37673834321004,116.41999787592587,137.44639867267762,178.20990717994238,122.89
2025-12-01 15:30:00+01:00,102.41132329074934,113.44333098467007,128.22357797724626,150.62366392821647,192.17746888255752,126.75
2025-12-01 15:45:00+01:00,95.38925169974215,113.21595159753157,135.9275110276506,162.76806285202719,200.720266843177,114.22
2025-12-01 16:00:00+01:00,98.37625651539706,111.31789596826306,128.75992406785332,156.8497892075466,182.27677264469665,118.92
2025-12-01 16:15:00+01:00,96.28144348197213,111.24957481232443,127.93403280717217,154.04363469006725,196.20502261729467,119.94
2025-12-01 16:30:00+01:00,93.49815338920456,108.9437798905131,129.75732555916483,160.91389971223327,219.98638994097874,112.45
2025-12-01 16:45:00+01:00,93.65006545457892,113.9110764030787,142.67176462512947,179.777626870239,264.98189523576764,100.55
2025-12-01 17:00:00+01:00,87.91986438217278,105.78332160492121,124.30054421540372,148.42589735435297,193.59857481006185,89.91
2025-12-01 17:15:00+01:00,105.01469249033214,120.88423349800753,137.63775290232377,161.40488728033714,218.50296825402074,97.82
2025-12-01 17:30:00+01:00,94.65271989634859,109.47022725786927,127.57119504496265,167.16816718621016,215.47514702393332,100.56
2025-12-01 17:45:00+01:00,69.77494045330594,92.37977534529574,115.25478478244062,157.41445839163492,205.00304832624795,89.36
2025-12-01 18:00:00+01:00,79.22046327528464,96.45389621189518,115.06991916507063,135.70079514824684,189.3007822476577,86.91
2025-12-01 18:15:00+01:00,72.43307332306523,89.74352728913762,107.39462451440674,124.34267056497727,188.72227462175647,89.7
2025-12-01 18:30:00+01:00,76.96646240757362,92.16674831338489,113.24772454177354,142.4317828720162,202.27020588444728,91.08
2025-12-01 18:45:00+01:00,68.83646808753112,85.55823482984275,109.05264453711149,152.2404440623175,216.62785054636387,88.28
2025-12-01 19:00:00+01:00,86.34526584504414,100.01324429076601,119.28105986364562,154.76326587418572,235.87576943170527,95.08
2025-12-01 19:15:00+01:00,68.54270967770017,86.59476028028432,106.54349226484828,136.1652827766406,198.2722764746821,85.38
2025-12-01 19:30:00+01:00,73.13210855818755,86.91421529883237,104.45246084751754,127.26036947092427,167.34975376040748,85.91
2025-12-01 19:45:00+01:00,64.5905592692076,80.68352033476516,99.83941836766189,122.79496170002369,150.19673434839794,80.7
2025-12-01 20:00:00+01:00,75.21131294702815,86.01462962800275,100.01305037731947,120.78543350939188,154.0211710248104,91.99
2025-12-01 20:15:00+01:00,67.5126983335234,77.60485162310147,89.98887471235153,113.6568593866032,138.1221204817425,84.07
2025-12-01 20:30:00+01:00,70.71926993204752,81.42289800884372,92.7580304349056,105.18976809443043,120.83743791480902,75.91
2025-12-01 20:45:00+01:00,62.43916297699686,75.98354642100435,87.970142856212,98.8669939075076,110.86025971340442,77.23
2025-12-01 21:00:00+01:00,66.10007936559352,77.23669425081017,91.09891335445282,117.75492712415695,143.3806219729264,86.86
2025-12-01 21:15:00+01:00,51.98174864020096,60.305434653713796,72.81302959133842,86.64928476549721,98.22223783527701,80.98
2025-12-01 21:30:00+01:00,38.60538873304276,61.42119931883045,77.76416256328932,88.25771708995285,96.285676713729,69.87
2025-12-01 21:45:00+01:00,29.69124562125039,62.25803845656797,72.29808795293354,79.37498317511428,86.07666401732351,66.09
2025-12-01 22:00:00+01:00,71.7278933019839,82.37002095847254,90.52693281428004,100.88799942623024,110.45798426603291,84.08
2025-12-01 22:15:00+01:00,58.51697685053829,72.65663268065632,81.93421412992929,92.49358962295732,99.88418933799531,72.56
2025-12-01 22:30:00+01:00,67.77942284559842,76.64941821062115,85.27724777907011,92.37566632436757,97.52887829142256,79.69
2025-12-01 22:45:00+01:00,51.365640344381944,60.10526235366993,71.61350314097973,81.33436435058324,88.30119016166425,69.39
2025-12-01 23:00:00+01:00,49.00396791804211,69.50744278837934,81.86115193056241,89.28422741948852,95.93720229030434,82.47
2025-12-01 23:15:00+01:00,24.339935734552043,53.448346727009806,69.15649361502767,75.38038600769272,80.76479620601609,70.76
2025-12-01 23:30:00+01:00,22.28859356330328,49.41129084930302,62.09900158967259,69.32681690231604,75.01935451466348,71.18
2025-12-01 23:45:00+01:00,10.30310368529367,40.29059239713,60.259616629779345,69.48816123285161,75.60377793178347,62.8
2025-12-02 00:00:00+01:00,61.9806534195411,75.14580124424391,82.51209810176347,91.54888826283798,96.51122498894591,74.08
2025-12-02 00:15:00+01:00,53.362983922679355,63.37493823071439,74.56128304845737,83.49399880406982,91.48020522184046,69.92
2025-12-02 00:30:00+01:00,52.35543914273313,58.987667930386856,69.06463491206752,75.34109002743571,79.63166769012702,63.16
2025-12-02 00:45:00+01:00,42.47482230066103,61.948876251512466,69.10222385880384,75.11581638149971,80.01608911818468,55.95
2025-12-02 01:00:00+01:00,54.012058893328536,66.44800893346493,74.38959224425463,80.5077409109845,85.35700318058326,65.41
2025-12-02 01:15:00+01:00,44.73950985441221,60.046744306716505,68.53661049499044,74.13472059492256,79.09189666774361,58.49
2025-12-02 01:30:00+01:00,51.21931274073376,60.81454607346822,72.63306068205198,77.68110330344868,81.44371018062846,56.59
2025-12-02 01:45:00+01:00,48.10009896300239,62.19590382825868,69.84939158395736,75.48397963106568,79.73655728809196,54.79
2025-12-02 02:00:00+01:00,47.95433495982375,58.968876268466715,66.7091751664583,77.30983249385417,83.39221186595972,55.08
2025-12-02 02:15:00+01:00,48.9789022175956,59.370500633718606,67.65146486321667,75.96125556637644,80.43955678613598,54.24
2025-12-02 02:30:00+01:00,52.978764760309275,61.30696579364136,68.02891753051465,76.48628131076492,80.56207466993325,54.69
2025-12-02 02:45:00+01:00,48.49262755227825,56.25558739879996,65.48379310748597,71.63340188787036,77.02981686984477,55.73
2025-12-02 03:00:00+01:00,50.57461491178266,58.17469313772898,65.35820976940018,73.63544550351764,78.80795313532778,55.16
2025-12-02 03:15:00+01:00,47.01783918980783,56.84105428128857,63.59905954236362,72.62495670705735,77.70030566002798,53.71
2025-12-02 03:30:00+01:00,48.806311309524304,58.82353928429342,65.91133544942709,75.09332472978832,79.5324295715211,54.16
2025-12-02 03:45:00+01:00,48.80533453595085,59.2948528260399,65.72529967922462,74.79672658868073,79.762000690009,51.9
2025-12-02 04:00:00+01:00,46.13834228969224,57.78572262746431,65.62257780796814,72.23175140422968,77.12582657110663,48.96
2025-12-02 04:15:00+01:00,46.881297657267474,59.79464472977246,67.07384193455245,73.57534715456134,78.56059938035997,49.78
2025-12-02 04:30:00+01:00,53.312867310832246,61.335521480083116,68.77428073087135,75.57128197028486,81.28828983304197,51.02
2025-12-02 04:45:00+01:00,54.5604915112943,63.046805671165274,73.16337415071001,80.55835811549088,86.6183464092168,52.11
2025-12-02 05:00:00+01:00,24.82224555408459,45.77970663160081,60.05577860227944,69.6023341752358,74.92119361221668,50.29
2025-12-02 05:15:00+01:00,41.136908730090965,55.54652773752059,66.55030274729016,75.10661398248274,79.7705612498867,59.31
2025-12-02 05:30:00+01:00,53.81764184355094,67.99151111941661,79.223062324962,85.67116799108632,91.37342930796359,69.17
2025-12-02 05:45:00+01:00,65.83193737621346,75.95668076230045,84.78442917073782,92.51194278254272,99.50008842240234,79.57
2025-12-02 06:00:00+01:00,32.8504757713704,52.68532840693506,64.7978224819059,76.11786584662876,87.17802812475051,62.56
2025-12-02 06:15:00+01:00,53.89288648266794,71.9647388907086,83.78170737504072,94.5954466549873,103.43642218547181,76.7
2025-12-02 06:30:00+01:00,64.62330962705005,76.8572814531762,88.69776661889517,101.38238816906883,113.25830218928908,90.05
2025-12-02 06:45:00+01:00,71.77875821905238,86.04765356909795,101.29839309096035,117.96510228710471,140.44816899087482,84.74
2025-12-02 07:00:00+01:00,50.46815024875907,72.16532284903069,86.8528259715433,101.11061834121591,112.13875441570089,74.21
2025-12-02 07:15:00+01:00,70.75479316100012,83.08162699152304,97.3997703729833,113.95207109359696,139.24782157386443,80.8
2025-12-02 07:30:00+01:00,70.3260430505466,86.82199674947049,105.07856616973021,122.66935853048906,171.64030002960124,92.82
2025-12-02 07:45:00+01:00,72.99003057747677,92.74179788764374,110.2060550069062,131.89016521091625,175.40578468629144,103.32
2025-12-02 08:00:00+01:00,94.57360141068598,113.73421443258223,138.5757004276475,168.10163352971105,193.99787584782263,84.2
2025-12-02 08:15:00+01:00,88.28265372081756,106.98277284121704,127.81787777883905,156.71318895745694,195.5458802903707,87.9
2025-12-02 08:30:00+01:00,93.80384702013819,121.22110560840353,145.30410488019174,172.05937779420657,199.6755542033558,88.12
2025-12-02 08:45:00+01:00,68.92029603164951,89.2235062656797,114.54541150400505,138.9491468225217,170.90707149752822,90.38
2025-12-02 09:00:00+01:00,90.53364662573367,106.58449842326588,125.80950800296662,148.5764493073019,176.31109900082498,88.79
2025-12-02 09:15:00+01:00,98.03470276930614,113.74189258572952,131.38827853366004,157.51106661610794,183.74090912012377,89.98
2025-12-02 09:30:00+01:00,75.95149545414824,91.80296598626576,112.96670943447577,133.32932594593666,156.40939173302866,89.16
2025-12-02 09:45:00+01:00,62.06974499839552,77.00266705590737,98.80130954382486,120.57926274756386,146.04547207052863,85.19
2025-12-02 10:00:00+01:00,82.69545843687129,99.70391508581609,116.42863072385403,133.8998383974978,158.86232237048355,87.61
2025-12-02 10:15:00+01:00,73.93908338653245,91.34013738715588,105.85681309270139,119.83805253809444,142.88930736561073,85.38
2025-12-02 10:30:00+01:00,61.98337638608787,76.97368416428667,94.46661819856068,109.78741186134872,130.04551137674773,84.61
2025-12-02 10:45:00+01:00,65.19804599110432,83.48011531802132,102.21532583679142,125.32499459147435,150.67637756598162,85.73
2025-12-02 11:00:00+01:00,80.36387621946417,99.00478460013983,112.91152336163236,125.51363389506366,145.56300327936404,85.07
2025-12-02 11:15:00+01:00,84.8886930973065,97.9174165108779,112.86141109668321,126.26925363648004,140.18009528143295,85.2
2025-12-02 11:30:00+01:00,81.62078318148485,93.66309314964032,106.96660438095422,117.56904900335623,129.89907300549464,87.84
2025-12-02 11:45:00+01:00,82.91189423159045,96.10364817614997,110.9038320354089,122.88293603269709,146.7218329696329,88.78
2025-12-02 12:00:00+01:00,74.43326128287107,88.22614402065186,103.15444858389,119.02135039278738,137.58710274155942,87.01
2025-12-02 12:15:00+01:00,81.98982269656149,93.99063246091033,108.16874138260326,122.48173026115208,140.5858681466641,86.99
2025-12-02 12:30:00+01:00,97.65686060463148,107.45804723752155,120.01595510910552,133.33056396968033,161.569452025031,87.58
2025-12-02 12:45:00+01:00,89.66332085482988,100.5725067546169,113.0830589664397,133.98100925812685,167.92530223550122,88.21
2025-12-02 13:00:00+01:00,82.18903706790276,95.48570109989458,110.20552300674454,126.76855925732437,156.1691071881545,94.84
2025-12-02 13:15:00+01:00,89.19522845569914,100.82216703451668,114.62178205909673,135.9279231760283,169.75086524424373,91.79
2025-12-02 13:30:00+01:00,81.60578133613717,94.48019076100097,107.64552255476974,127.72395361932513,158.43734138855467,94.84
2025-12-02 13:45:00+01:00,84.54872484980373,97.80173518015347,113.28060128647877,140.0999022077027,173.9857929275683,106.67
2025-12-02 14:00:00+01:00,84.3399883742551,98.56999729579397,114.70207916359763,137.05924851834718,173.93118463429076,84.49
2025-12-02 14:15:00+01:00,88.50534268449564,101.04019071732925,115.3655061589333,141.37994914795206,182.75778808613197,86.75
2025-12-02 14:30:00+01:00,92.92634716632016,105.08918813556359,117.98698198727286,139.6304377636417,180.21636104801348,116.52
2025-12-02 14:45:00+01:00,105.07637905549443,117.51999479638636,130.2240796249087,150.1180929471573,182.24639558599273,132.27
2025-12-02 15:00:00+01:00,90.70371336332107,103.01080375661725,119.9710453130941,145.00075457955174,179.65384322467804,122.27
