period,mae,rmse,bias,n_obs,n_inf_nan
full,7.161311444333476,11.24282714081119,-0.8438628723643781,8640,0
dec_2025,7.722395589067845,10.955067296085982,-0.6445992606671702,2976,0
jan_2026,8.002180340669335,13.618641891040394,-1.3276802616045866,2976,0
feb_2026,5.6091491488628655,8.250966375589643,-0.5288211900846281,2688,0
