,train_days,feature_group,ANC
0,112,EXAA d,90.25455323536195
1,112,Price d-1,8.032282211249834
2,112,Wind d,6.874374361772027
3,112,Load d,4.566461177480513
4,112,Price d-7,3.1366295256758123
5,112,15-min market dummy,3.029162790650766
6,112,Solar d,2.297502650106746
7,112,Price d-2,1.9324392353687965
8,112,Weekday,0.8657567584582679
9,112,Holiday,0.025752830773004817
