forecast_day,computation_time_seconds
2025-12-01 00:00:00+01:00,2.012909374985611
2025-12-02 00:00:00+01:00,2.0306264169921633
2025-12-03 00:00:00+01:00,2.086142124986509
2025-12-04 00:00:00+01:00,2.31783345900476
2025-12-05 00:00:00+01:00,2.168403459014371
2025-12-06 00:00:00+01:00,2.0592954170133453
2025-12-07 00:00:00+01:00,2.035373624996282
2025-12-08 00:00:00+01:00,2.100789165997412
2025-12-09 00:00:00+01:00,2.082775541988667
2025-12-10 00:00:00+01:00,1.9635055419930723
2025-12-11 00:00:00+01:00,2.345762416982325
2025-12-12 00:00:00+01:00,2.4548848750127945
2025-12-13 00:00:00+01:00,3.3439493750047404
2025-12-14 00:00:00+01:00,1.9092656669963617
2025-12-15 00:00:00+01:00,2.4480364169867244
2025-12-16 00:00:00+01:00,2.385129792004591
2025-12-17 00:00:00+01:00,2.2384412919927854
2025-12-18 00:00:00+01:00,2.13167816598434
2025-12-19 00:00:00+01:00,1.9889540830045007
2025-12-20 00:00:00+01:00,2.0465474579832517
2025-12-21 00:00:00+01:00,2.141250749991741
2025-12-22 00:00:00+01:00,2.4577017499832436
2025-12-23 00:00:00+01:00,2.03982183302287
2025-12-24 00:00:00+01:00,2.0299488329910673
2025-12-25 00:00:00+01:00,1.9513352499925531
2025-12-26 00:00:00+01:00,2.1459542910160962
2025-12-27 00:00:00+01:00,2.163176750007551
2025-12-28 00:00:00+01:00,2.256067875016015
2025-12-29 00:00:00+01:00,1.9305735839880072
2025-12-30 00:00:00+01:00,1.905935667018639
2025-12-31 00:00:00+01:00,1.9379811249964405
2026-01-01 00:00:00+01:00,1.8789099999994505
2026-01-02 00:00:00+01:00,1.9381203750090208
2026-01-03 00:00:00+01:00,1.9515340839861892
2026-01-04 00:00:00+01:00,1.964172084000893
2026-01-05 00:00:00+01:00,1.9075813750096131
2026-01-06 00:00:00+01:00,1.9848044580139685
2026-01-07 00:00:00+01:00,1.9815511250053532
2026-01-08 00:00:00+01:00,1.9096310420136433
2026-01-09 00:00:00+01:00,1.9513163749943487
2026-01-10 00:00:00+01:00,1.9361243330058642
2026-01-11 00:00:00+01:00,1.8846440839988645
2026-01-12 00:00:00+01:00,1.9374404160189442
2026-01-13 00:00:00+01:00,2.1950800839986186
2026-01-14 00:00:00+01:00,2.145553459005896
2026-01-15 00:00:00+01:00,2.347016707994044
2026-01-16 00:00:00+01:00,1.981662417005282
2026-01-17 00:00:00+01:00,1.9230177919962443
2026-01-18 00:00:00+01:00,1.9363302089914214
2026-01-19 00:00:00+01:00,1.9194970419921447
2026-01-20 00:00:00+01:00,1.9263573329953942
2026-01-21 00:00:00+01:00,1.9919884169939905
2026-01-22 00:00:00+01:00,1.950058499991428
2026-01-23 00:00:00+01:00,2.1587243329850025
2026-01-24 00:00:00+01:00,1.9371150830120314
2026-01-25 00:00:00+01:00,1.9503274169983342
2026-01-26 00:00:00+01:00,2.0793178750027437
2026-01-27 00:00:00+01:00,2.0605859579809476
2026-01-28 00:00:00+01:00,2.0490535410062876
2026-01-29 00:00:00+01:00,1.9364520419912878
2026-01-30 00:00:00+01:00,1.911296541977208
2026-01-31 00:00:00+01:00,2.0394894999917597
2026-02-01 00:00:00+01:00,1.996591958013596
2026-02-02 00:00:00+01:00,2.018526166008087
2026-02-03 00:00:00+01:00,2.5464607500180136
2026-02-04 00:00:00+01:00,2.1549826249829493
2026-02-05 00:00:00+01:00,1.957483999984106
2026-02-06 00:00:00+01:00,2.0286439589981455
2026-02-07 00:00:00+01:00,2.0346737910003867
2026-02-08 00:00:00+01:00,1.9472415840136819
2026-02-09 00:00:00+01:00,1.9621294169919565
2026-02-10 00:00:00+01:00,1.9276807499991264
2026-02-11 00:00:00+01:00,2.02874220898957
2026-02-12 00:00:00+01:00,1.9229838750034105
2026-02-13 00:00:00+01:00,1.9063994999742135
2026-02-14 00:00:00+01:00,1.9675802499987185
2026-02-15 00:00:00+01:00,1.9722079999919515
2026-02-16 00:00:00+01:00,1.9292158329917584
2026-02-17 00:00:00+01:00,1.9348925829981454
2026-02-18 00:00:00+01:00,1.8904588330187835
2026-02-19 00:00:00+01:00,1.988111749989912
2026-02-20 00:00:00+01:00,1.9561729579872917
2026-02-21 00:00:00+01:00,1.904278667003382
2026-02-22 00:00:00+01:00,1.971416958986083
2026-02-23 00:00:00+01:00,2.0487618750194088
2026-02-24 00:00:00+01:00,1.9729604590102099
2026-02-25 00:00:00+01:00,2.116631957993377
2026-02-26 00:00:00+01:00,1.9953557499975432
2026-02-27 00:00:00+01:00,2.020302291988628
2026-02-28 00:00:00+01:00,2.0802591660176404
