forecast_day,computation_time_seconds
2025-12-01 00:00:00+01:00,2.1564789159892825
2025-12-02 00:00:00+01:00,1.974205250007799
2025-12-03 00:00:00+01:00,1.952323499994236
2025-12-04 00:00:00+01:00,1.938749374996405
2025-12-05 00:00:00+01:00,1.945883958003833
2025-12-06 00:00:00+01:00,2.064952541986713
2025-12-07 00:00:00+01:00,1.9608147499966435
2025-12-08 00:00:00+01:00,1.8463662910071434
2025-12-09 00:00:00+01:00,1.909845125002903
2025-12-10 00:00:00+01:00,1.9355395830061752
2025-12-11 00:00:00+01:00,1.872461166989524
2025-12-12 00:00:00+01:00,1.9271467920043506
2025-12-13 00:00:00+01:00,1.8866699160134885
2025-12-14 00:00:00+01:00,2.3586913329927484
2025-12-15 00:00:00+01:00,1.8815950829884969
2025-12-16 00:00:00+01:00,1.9507241250103107
2025-12-17 00:00:00+01:00,1.9329392079962417
2025-12-18 00:00:00+01:00,1.8916044170036912
2025-12-19 00:00:00+01:00,1.8959587089921115
2025-12-20 00:00:00+01:00,1.9653704999946058
2025-12-21 00:00:00+01:00,1.9430163340002764
2025-12-22 00:00:00+01:00,1.989880125009222
2025-12-23 00:00:00+01:00,1.8747850409999955
2025-12-24 00:00:00+01:00,1.9506428339955164
2025-12-25 00:00:00+01:00,2.070454458997119
2025-12-26 00:00:00+01:00,2.082038459004252
2025-12-27 00:00:00+01:00,1.9682146249979269
2025-12-28 00:00:00+01:00,1.9818727920064703
2025-12-29 00:00:00+01:00,1.9164794999960577
2025-12-30 00:00:00+01:00,1.9409997499897145
2025-12-31 00:00:00+01:00,1.9349644999892917
2026-01-01 00:00:00+01:00,1.9337129999912577
2026-01-02 00:00:00+01:00,1.9134427919925656
2026-01-03 00:00:00+01:00,1.9626071249949746
2026-01-04 00:00:00+01:00,1.93029750000278
2026-01-05 00:00:00+01:00,1.920856750002713
2026-01-06 00:00:00+01:00,1.9187929170002462
2026-01-07 00:00:00+01:00,1.9812666660000104
2026-01-08 00:00:00+01:00,1.9730224160011858
2026-01-09 00:00:00+01:00,1.93320433300687
2026-01-10 00:00:00+01:00,1.9166087500052527
2026-01-11 00:00:00+01:00,1.9973250000039116
2026-01-12 00:00:00+01:00,1.9285857079958078
2026-01-13 00:00:00+01:00,1.90890062499966
2026-01-14 00:00:00+01:00,1.9195245830051135
2026-01-15 00:00:00+01:00,1.9063799579889746
2026-01-16 00:00:00+01:00,1.914410790996044
2026-01-17 00:00:00+01:00,1.9518824170081643
2026-01-18 00:00:00+01:00,1.9490277919976506
2026-01-19 00:00:00+01:00,1.9535477080062265
2026-01-20 00:00:00+01:00,1.9219648330035852
2026-01-21 00:00:00+01:00,1.9188278750079917
2026-01-22 00:00:00+01:00,1.950659624999389
2026-01-23 00:00:00+01:00,1.9137432080024155
2026-01-24 00:00:00+01:00,1.940243459001067
2026-01-25 00:00:00+01:00,1.9178758750058478
2026-01-26 00:00:00+01:00,1.936485915997764
2026-01-27 00:00:00+01:00,1.9046528750041034
2026-01-28 00:00:00+01:00,1.9220681250008056
2026-01-29 00:00:00+01:00,1.9444040840025991
2026-01-30 00:00:00+01:00,1.913787916986621
2026-01-31 00:00:00+01:00,1.9156369169941172
2026-02-01 00:00:00+01:00,1.9285257090086816
2026-02-02 00:00:00+01:00,1.920968874997925
2026-02-03 00:00:00+01:00,1.9508857500040904
2026-02-04 00:00:00+01:00,1.9461522920028074
2026-02-05 00:00:00+01:00,1.9031956249964423
2026-02-06 00:00:00+01:00,1.9231704580015503
2026-02-07 00:00:00+01:00,1.9311197500064736
2026-02-08 00:00:00+01:00,1.9219090000115102
2026-02-09 00:00:00+01:00,1.9373486669937847
2026-02-10 00:00:00+01:00,1.9139608749974286
2026-02-11 00:00:00+01:00,1.931359958005487
2026-02-12 00:00:00+01:00,1.9445317079953384
2026-02-13 00:00:00+01:00,1.9022768330032704
2026-02-14 00:00:00+01:00,1.9684872080106288
2026-02-15 00:00:00+01:00,1.9404072080069454
2026-02-16 00:00:00+01:00,1.9386272909905529
2026-02-17 00:00:00+01:00,1.9386515829974087
2026-02-18 00:00:00+01:00,1.91292175000126
2026-02-19 00:00:00+01:00,1.9370259169954807
2026-02-20 00:00:00+01:00,1.9263554170029238
2026-02-21 00:00:00+01:00,1.9054560410004342
2026-02-22 00:00:00+01:00,1.9074546249903506
2026-02-23 00:00:00+01:00,1.9454875419905875
2026-02-24 00:00:00+01:00,2.0019389580120333
2026-02-25 00:00:00+01:00,1.9207748330081813
2026-02-26 00:00:00+01:00,1.8968095000018366
2026-02-27 00:00:00+01:00,1.928534207996563
2026-02-28 00:00:00+01:00,1.9335271250020014
