forecast_day,train_days,use_vst,use_lars,runtime_seconds
2025-10-01 00:00:00+02:00,56,True,False,44.24313304099633
2025-10-02 00:00:00+02:00,56,True,False,45.00944066700322
2025-10-03 00:00:00+02:00,56,True,False,45.126106541996705
2025-10-04 00:00:00+02:00,56,True,False,44.001950332996785
2025-10-05 00:00:00+02:00,56,True,False,43.904506625003705
2025-10-06 00:00:00+02:00,56,True,False,44.287166875001276
2025-10-07 00:00:00+02:00,56,True,False,43.92739383300068
2025-10-08 00:00:00+02:00,56,True,False,43.57326941700012
2025-10-09 00:00:00+02:00,56,True,False,43.191540583997266
2025-10-10 00:00:00+02:00,56,True,False,45.197100541998225
2025-10-11 00:00:00+02:00,56,True,False,44.15506041700428
2025-10-12 00:00:00+02:00,56,True,False,44.26481254099781
2025-10-13 00:00:00+02:00,56,True,False,45.50402387500071
2025-10-14 00:00:00+02:00,56,True,False,47.008343791996595
2025-10-15 00:00:00+02:00,56,True,False,46.56345395799872
2025-10-16 00:00:00+02:00,56,True,False,46.41215091699996
2025-10-17 00:00:00+02:00,56,True,False,44.04068591600662
2025-10-18 00:00:00+02:00,56,True,False,43.18881241700001
2025-10-19 00:00:00+02:00,56,True,False,43.754226041004586
2025-10-20 00:00:00+02:00,56,True,False,43.9810171249992
2025-10-21 00:00:00+02:00,56,True,False,43.121347624997725
2025-10-22 00:00:00+02:00,56,True,False,42.35076266700344
2025-10-23 00:00:00+02:00,56,True,False,43.27195787499659
2025-10-24 00:00:00+02:00,56,True,False,43.4494987500002
2025-10-25 00:00:00+02:00,56,True,False,43.830159832999925
2025-10-26 00:00:00+02:00,56,True,False,40.49640620900027
2025-10-27 00:00:00+01:00,56,True,False,43.193901708997146
2025-10-28 00:00:00+01:00,56,True,False,44.75554504199681
2025-10-29 00:00:00+01:00,56,True,False,43.91573966600117
2025-10-30 00:00:00+01:00,56,True,False,43.909870291994594
2025-10-31 00:00:00+01:00,56,True,False,44.37856154199835
2025-11-01 00:00:00+01:00,56,True,False,43.82663429200329
2025-11-02 00:00:00+01:00,56,True,False,44.77079170900106
2025-11-03 00:00:00+01:00,56,True,False,44.11529770799825
2025-11-04 00:00:00+01:00,56,True,False,43.95097199999873
2025-11-05 00:00:00+01:00,56,True,False,43.896365374996094
