forecast_day,computation_time_seconds
2025-12-01 00:00:00+01:00,2.2877925840002717
2025-12-02 00:00:00+01:00,2.221892249996017
2025-12-03 00:00:00+01:00,2.2166027080020285
2025-12-04 00:00:00+01:00,2.2201339160019415
2025-12-05 00:00:00+01:00,2.25667725000676
2025-12-06 00:00:00+01:00,2.3261658329938655
2025-12-07 00:00:00+01:00,2.3081106250028824
2025-12-08 00:00:00+01:00,2.2601628330012318
2025-12-09 00:00:00+01:00,2.2354028329937137
2025-12-10 00:00:00+01:00,2.1856325839980855
2025-12-11 00:00:00+01:00,2.186035291997541
2025-12-12 00:00:00+01:00,2.21013474999927
2025-12-13 00:00:00+01:00,2.188329832999443
2025-12-14 00:00:00+01:00,2.177324166004837
2025-12-15 00:00:00+01:00,2.1631434579976485
2025-12-16 00:00:00+01:00,2.171142499995767
2025-12-17 00:00:00+01:00,2.1398379579986795
2025-12-18 00:00:00+01:00,2.1739552080034628
2025-12-19 00:00:00+01:00,2.2139130830037175
2025-12-20 00:00:00+01:00,2.1909101249984815
2025-12-21 00:00:00+01:00,2.2098198750027223
2025-12-22 00:00:00+01:00,2.2105948329990497
2025-12-23 00:00:00+01:00,2.1529355000020587
2025-12-24 00:00:00+01:00,2.198727791001147
2025-12-25 00:00:00+01:00,2.2149450830038404
2025-12-26 00:00:00+01:00,2.2683039589974214
2025-12-27 00:00:00+01:00,2.205770874999871
2025-12-28 00:00:00+01:00,2.228198875003727
2025-12-29 00:00:00+01:00,2.3349197499992442
2025-12-30 00:00:00+01:00,2.702080125003704
2025-12-31 00:00:00+01:00,2.4478568749982514
2026-01-01 00:00:00+01:00,2.2398952080038725
2026-01-02 00:00:00+01:00,2.6352039170014905
2026-01-03 00:00:00+01:00,2.2559276669999235
2026-01-04 00:00:00+01:00,2.2209724580025068
2026-01-05 00:00:00+01:00,2.2484250830020756
2026-01-06 00:00:00+01:00,2.2662604169963743
2026-01-07 00:00:00+01:00,2.2406980419982574
2026-01-08 00:00:00+01:00,2.336769291003293
2026-01-09 00:00:00+01:00,2.2486882909943233
2026-01-10 00:00:00+01:00,2.1478921250018175
2026-01-11 00:00:00+01:00,2.246452749997843
2026-01-12 00:00:00+01:00,2.345852999998897
2026-01-13 00:00:00+01:00,2.43417879199842
2026-01-14 00:00:00+01:00,2.347243124997476
2026-01-15 00:00:00+01:00,2.240662500000326
2026-01-16 00:00:00+01:00,2.230473458999768
2026-01-17 00:00:00+01:00,2.2663299160049064
2026-01-18 00:00:00+01:00,2.265372333000414
2026-01-19 00:00:00+01:00,2.2245887919998495
2026-01-20 00:00:00+01:00,2.264167332999932
2026-01-21 00:00:00+01:00,2.2229022920000716
2026-01-22 00:00:00+01:00,2.234471499999927
2026-01-23 00:00:00+01:00,2.2227772920014104
2026-01-24 00:00:00+01:00,2.2172344160062494
2026-01-25 00:00:00+01:00,2.2258183330050088
2026-01-26 00:00:00+01:00,2.2593279590000748
2026-01-27 00:00:00+01:00,2.2242449580007815
2026-01-28 00:00:00+01:00,2.2693122920027236
2026-01-29 00:00:00+01:00,2.2239097919955384
2026-01-30 00:00:00+01:00,2.203132499998901
2026-01-31 00:00:00+01:00,2.213181250001071
2026-02-01 00:00:00+01:00,2.255562499994994
2026-02-02 00:00:00+01:00,2.2298859169968637
2026-02-03 00:00:00+01:00,2.2162469579998287
2026-02-04 00:00:00+01:00,2.241211749998911
2026-02-05 00:00:00+01:00,2.2094803329964634
2026-02-06 00:00:00+01:00,2.199049542003195
2026-02-07 00:00:00+01:00,2.211739790996944
2026-02-08 00:00:00+01:00,2.204446374998952
2026-02-09 00:00:00+01:00,2.224060415996064
2026-02-10 00:00:00+01:00,2.23727462500392
2026-02-11 00:00:00+01:00,2.2033707500013406
2026-02-12 00:00:00+01:00,2.2063980829989305
2026-02-13 00:00:00+01:00,2.201967291002802
2026-02-14 00:00:00+01:00,2.2918610829947283
2026-02-15 00:00:00+01:00,2.4074414579954464
2026-02-16 00:00:00+01:00,2.253871209002682
2026-02-17 00:00:00+01:00,2.292648166003346
2026-02-18 00:00:00+01:00,2.3196214999989024
2026-02-19 00:00:00+01:00,2.197765832999721
2026-02-20 00:00:00+01:00,2.1405532920034602
2026-02-21 00:00:00+01:00,2.162579709001875
2026-02-22 00:00:00+01:00,2.18164808399888
2026-02-23 00:00:00+01:00,2.2183662919997005
2026-02-24 00:00:00+01:00,2.1784702919976553
2026-02-25 00:00:00+01:00,2.2297367499995744
2026-02-26 00:00:00+01:00,2.1813134160038317
2026-02-27 00:00:00+01:00,2.185096415996668
2026-02-28 00:00:00+01:00,2.2039005419937894
