period,mae,rmse,bias,n_obs,n_inf_nan
full,13.48920205029065,21.951590039393132,1.4940159934711856,14496,0
oct_2025,17.18906170873715,27.914875146759933,-1.3678176080111977,2976,0
nov_2025,15.379051520287135,26.233456531285846,2.329876626451803,2880,0
dec_2025,11.767809219838288,16.192257050912424,6.136789805842683,2976,0
jan_2026,12.801281430653523,21.326399372086925,-3.6970361797391074,2976,0
feb_2026,10.035544316042023,14.309466774402496,4.373932130704686,2688,0
