period,mae,rmse,bias,n_obs,n_inf_nan
full,7.737544610573862,12.25526111032335,-0.0687269218866831,8640,0
dec_2025,8.267317441925114,11.557979166635612,-0.0197495163962127,2976,0
jan_2026,8.776980033869558,15.212480804103892,-0.9016845741672155,2976,0
feb_2026,6.000206900071889,8.86813747923746,0.7992512084880281,2688,0
