period,mae,rmse,bias,n_obs,n_inf_nan
full,10.063784543073242,17.31766197351558,-0.7099080281964434,13824,0
oct_2025,14.262804226334724,24.01138825224855,-0.5511251917791321,2496,0
nov_2025,12.170493740905076,21.3661994511429,-1.64985919449185,2880,0
dec_2025,8.515113381238681,11.85215290649194,0.6296050960926719,2976,0
jan_2026,9.441300703887492,16.233046473613214,-2.9747923469274102,2784,0
feb_2026,6.266822030698406,9.455973425522437,1.0124819586695413,2688,0
