Target Day,MAE (median),Coverage 0.25-0.75,Coverage 0.1-0.9,APS,Winkler 0.25-0.75,Winkler 0.1-0.9
2025-12-01,8.848285876314556,0.5833333333333334,0.96875,2.9456498957990958,26.131715999061043,37.61578210062663
2025-12-02,9.500153257254427,0.6354166666666666,0.8854166666666666,3.4065518786337683,30.641870162024745,42.078982742986426
2025-12-03,12.557622084268411,0.5833333333333334,0.8645833333333334,4.797906540265259,44.02345619103486,55.6448623764846
2025-12-04,10.873941248653816,0.5833333333333334,0.90625,3.857031834018257,34.805824412128096,43.95633723206001
2025-12-05,12.853757235037476,0.5729166666666666,0.9270833333333334,4.486576997651167,40.5760574458505,50.04684070423375
2025-12-06,4.748915859305018,0.7708333333333334,0.9895833333333334,2.063642668535214,18.787482488388132,32.432275952817776
2025-12-07,7.334911448804037,0.5833333333333334,0.9270833333333334,2.7106021628526955,24.014595982536946,35.615332138029515
2025-12-08,11.160847612663426,0.4479166666666667,0.7708333333333334,4.0107754542495675,36.76052799864848,39.83740962653985
2025-12-09,6.401243876380753,0.6145833333333334,0.9791666666666666,2.424744403846269,21.357683821509713,35.18703060385142
2025-12-10,7.267597946541997,0.6666666666666666,0.9375,2.6079176649781504,22.85340059064733,36.00591890247231
2025-12-11,5.2860321097593195,0.7395833333333334,0.9375,2.3153904182142275,21.154173024020817,35.79613862692709
2025-12-12,5.306365038781601,0.78125,0.9791666666666666,2.3589499777960614,21.057470973963493,38.362928493404304
2025-12-13,4.986118122071796,0.7916666666666666,0.9895833333333334,2.08873634381021,18.463632555951836,33.313942966034666
2025-12-14,6.747487938407088,0.5833333333333334,0.875,2.45955315431142,22.107602408687466,31.52540316287384
2025-12-15,8.067997120098491,0.59375,0.875,2.7660941925064244,25.09443766591824,33.90213834003897
2025-12-16,6.893254496309345,0.6979166666666666,1.0,2.4593339882901466,21.643321601116053,34.392122930170466
2025-12-17,5.742126669038704,0.6979166666666666,0.9583333333333334,2.3959434664781964,22.000843138790547,34.71082240550097
2025-12-18,8.519542353424974,0.5833333333333334,0.8645833333333334,3.0578498080772123,27.36135784936087,34.88596957898499
2025-12-19,7.810744138045699,0.5625,0.9270833333333334,2.811579531245724,25.419980244931423,36.28518610943507
2025-12-20,6.031889503291189,0.71875,0.9791666666666666,2.1706674052342674,18.56183994603767,31.933957165531805
2025-12-21,6.137303216593362,0.5625,0.96875,2.195551264508997,19.533832760170498,30.059708866101744
2025-12-22,6.652126533439739,0.59375,0.8541666666666666,2.424831543900819,21.656930924881024,31.690567125598665
2025-12-23,5.043326402735068,0.6875,0.9791666666666666,1.9690277921255657,17.512243328609248,29.164653347182128
2025-12-24,12.452924176934493,0.13541666666666666,0.5,4.224517278582238,38.4685018791371,33.65688578648292
2025-12-25,9.948637121825746,0.40625,0.75,3.752151204040706,32.62532882216676,33.24711959595533
2025-12-26,8.574220006864904,0.375,0.8125,2.7960737572551135,26.420306585991444,27.648083515079907
2025-12-27,7.976872736098283,0.4166666666666667,0.7916666666666666,2.781857445059659,25.204045673776278,28.846594116465038
2025-12-28,6.233292579435542,0.625,0.9166666666666666,2.197215469287129,19.3180319361542,27.655608195315676
2025-12-29,11.909835702255839,0.3020833333333333,0.6458333333333334,4.272124672816571,38.807823174296296,35.595477114143854
2025-12-30,3.9312322983696437,0.8333333333333334,1.0,1.7237738662275948,15.181106051650874,28.57976669040434
2025-12-31,4.08090344527042,0.8229166666666666,0.9791666666666666,1.699732756098308,15.136576391461219,26.24619763115722
2026-01-01,12.953397249712511,0.20833333333333334,0.4583333333333333,4.8782169587648845,43.96441001777736,34.553401619040976
2026-01-02,8.215654271082121,0.46875,0.84375,2.8217569119906036,25.23655833410236,32.24078287244248
2026-01-03,5.919587880959504,0.6354166666666666,0.8854166666666666,2.2160795965538655,20.325476205888894,29.44386722848861
2026-01-04,5.5648768723569555,0.5729166666666666,0.9791666666666666,2.0683106134197424,18.71505588637621,28.295712152428024
2026-01-05,11.348073078942809,0.46875,0.8333333333333334,4.074853693409635,36.984978365708116,39.52036194968968
2026-01-06,8.496459957857006,0.5833333333333334,0.8541666666666666,2.9189087451396984,25.944767291744466,33.68557763907385
2026-01-07,5.76411533599691,0.6979166666666666,0.96875,2.0690685514236793,18.01711575219274,29.293235502921856
2026-01-08,31.788609129982643,0.375,0.4583333333333333,12.81046621623573,113.61478302314556,77.70744323810366
2026-01-09,4.849110830606417,0.6875,0.9270833333333334,1.9850682509430642,18.012223524800532,28.989980967623936
2026-01-10,5.037407659599151,0.6979166666666666,0.9270833333333334,2.109718326716563,18.61233287404285,31.740711605601962
2026-01-11,8.149062670160896,0.4479166666666667,0.875,2.6069499669739455,23.114572822123467,30.333022870337857
2026-01-12,7.801965687807531,0.5833333333333334,0.875,2.777612564718928,25.97462270223248,32.64846414774386
2026-01-13,9.618931060890715,0.6354166666666666,0.8854166666666666,3.231974441863329,28.847470932224297,36.48872147204383
2026-01-14,7.5948593350022655,0.5833333333333334,0.9479166666666666,2.807594821110747,25.402093871888066,35.75278666918314
2026-01-15,5.2267851955116535,0.78125,0.9583333333333334,2.048839388903566,17.919011388606844,30.81545665790186
2026-01-16,5.743667749883521,0.7916666666666666,0.9270833333333334,2.312820129460378,21.158612741443935,33.38920673256803
2026-01-17,4.556651104594359,0.78125,0.9479166666666666,1.9913670083154495,17.98998480590337,30.597230756032058
2026-01-18,7.53551473980837,0.5,0.6770833333333334,2.8236728253692034,25.393120910865804,31.40034194596875
2026-01-19,11.093483775935717,0.4791666666666667,0.8020833333333334,3.7418464514688026,35.613610397682805,37.94638356764251
2026-01-20,20.255848933927712,0.23958333333333334,0.5833333333333334,7.370227097856386,66.12873314229097,55.306085471946524
2026-01-21,7.134044631449346,0.65625,0.8854166666666666,2.657571703524444,24.202331720047027,32.48729264843571
2026-01-22,3.5177418334342767,0.9375,1.0,1.6891746890864028,15.067552517427236,29.201143993580672
2026-01-23,5.1428937435414275,0.7395833333333334,0.9583333333333334,2.0582756394103585,18.771659409618426,29.61234089828393
2026-01-24,4.684701424775359,0.6666666666666666,0.9791666666666666,1.9060433733693631,17.087220613241083,28.791862896712995
2026-01-25,5.079757214848645,0.7083333333333334,0.9895833333333334,1.8599641777165246,16.222863904607262,26.981062364450093
2026-01-26,23.517591232092446,0.14583333333333334,0.3125,9.04126232840928,79.65919942647714,60.449690611300305
2026-01-27,7.624327544196682,0.5416666666666666,0.90625,2.578672075566092,22.417532424987318,32.70492292019937
2026-01-28,9.219654755884568,0.5208333333333334,0.78125,3.1901962465121203,29.938311662857927,33.07816976995152
2026-01-29,5.008574312095074,0.7708333333333334,1.0,2.096494583701204,18.885575883203405,32.56791791657635
2026-01-30,4.235913219724501,0.7604166666666666,0.96875,1.8190911372092615,16.32923026860117,27.86074558286893
2026-01-31,5.163078759496378,0.625,0.9270833333333334,1.916546539570487,17.02017584691176,26.896116423979972
2026-02-01,5.359045642270097,0.6458333333333334,0.8020833333333334,2.1775913953424424,20.31788831592587,26.983398916471106
2026-02-02,4.493531555490651,0.7916666666666666,0.8958333333333334,1.9522063279305595,17.97847900270073,27.418877474584743
2026-02-03,3.905007717869163,0.7395833333333334,0.9479166666666666,1.6445309878047847,14.820865156975524,25.26564172300704
2026-02-04,4.528153488074504,0.7604166666666666,1.0,1.7245169092931139,15.144673835992952,25.723393434300792
2026-02-05,4.352739066017457,0.8229166666666666,0.96875,1.7210840954926865,15.036754856876405,26.511708664811227
2026-02-06,4.919483318141288,0.75,0.9895833333333334,1.9071362845966047,17.143081923698983,27.84516748801339
2026-02-07,4.029386162678197,0.71875,0.9791666666666666,1.709461851871303,16.008989963950576,25.029437895769075
2026-02-08,2.157981386422011,0.9375,1.0,1.292518334242802,12.017774781772333,23.791572825599207
2026-02-09,8.738959924002714,0.53125,0.84375,3.0710313884913685,27.341412770980284,32.21043847426825
2026-02-10,4.4352757861895205,0.78125,0.9791666666666666,1.7765863046795847,15.950480426302015,26.39768973648781
2026-02-11,3.6093135618731544,0.84375,1.0,1.549536984681933,13.741339334707064,25.076933087963216
2026-02-12,4.362286215918452,0.6354166666666666,0.9791666666666666,1.629912723741975,14.044827242598066,24.336816365975007
2026-02-13,4.191896707320589,0.7708333333333334,1.0,1.624807855355391,14.085542511244613,25.067052953055082
2026-02-14,3.1348915825241797,0.8125,1.0,1.3958193365955889,12.341087916679902,23.2637891254588
2026-02-15,7.293629485852833,0.5520833333333334,0.6979166666666666,2.6915946165079196,24.523226258853725,24.674039526972518
2026-02-16,3.99642013166439,0.8020833333333334,0.96875,1.5808847881121435,13.775227317309925,24.157273612331306
2026-02-17,7.156848517242011,0.3854166666666667,0.8125,2.401438096828342,22.135579909599063,24.487665085571752
2026-02-18,6.662222598136303,0.6458333333333334,0.8541666666666666,2.5399924417644546,22.7471262782517,27.265682060497955
2026-02-19,3.5227615620859147,0.75,0.9895833333333334,1.4077815504494544,12.432241952356357,21.686359460377293
2026-02-20,5.683290876278086,0.5520833333333334,0.90625,1.957311637802033,17.26700688585437,22.815952907092555
2026-02-21,7.312909900104015,0.3125,0.6875,2.502737640277439,22.91029379856725,23.456441894578536
