period,mae,rmse,bias,n_obs,n_inf_nan
full,9.799294972852973,16.346545366271393,-0.4098186942509244,14496,0
oct_2025,13.611398062097628,21.89019130315708,0.764240731087118,2976,0
nov_2025,11.432033147372113,19.486905553159932,-1.2173291796325687,2880,0
dec_2025,8.149010741483604,11.287378176874642,0.46134508509979866,2976,0
jan_2026,9.267599255039164,15.798330571990576,-3.0369430713981407,2976,0
feb_2026,6.245153452228697,9.287290043772495,1.0996188381655516,2688,0
