period,mae,rmse,bias,n_obs,n_inf_nan
full,16.709103218474574,35.199680674684195,-2.3151305105855666,14016,0
oct_2025,24.884216266143024,60.11480016718335,-8.778489102338208,2592,0
nov_2025,17.554086868914776,30.268677356942778,-4.841269653569606,2880,0
dec_2025,11.555007009775602,16.823901085710972,3.2347894591674944,2976,0
jan_2026,16.99387277668158,35.05770431912141,-8.421771507257835,2880,0
feb_2026,13.321829430017564,19.07956327443268,7.022246886009632,2688,0
